004,Kabul
008,Tirana
012,Algiers
020,Andorra la Vella
024,Luanda
028,Saint John's
032,Buenos Aires
051,Yerevan
036,Canberra
040,Vienna
031,Baku
044,Nassau
048,Manama
050,Dhaka
052,Bridgetown
112,Minsk
056,Brussels
084,Belmopan
204,Porto-Novo
064,Thimphu
068,Sucre
070,Sarajevo
072,Gaborone
076,Brasília
096,Bandar Seri Begawan
100,Sofia
854,Ouagadougou
104,Rangoon
108,Bujumbura
116,Phnom Penh
120,Yaoundé
124,Ottawa
132,Praia
140,Bangui
148,N'Djamena
152,Santiago
156,Beijing
170,Bogotá
174,Moroni
178,Brazzaville
180,Kinshasa
188,San José
384,Yamoussoukro
191,Zagreb
192,Havana
196,Nicosia
203,Prague
208,Copenhagen
262,Djibouti
212,Roseau
214,Santo Domingo
218,Quito
818,Cairo
222,San Salvador
324,Malabo
232,Asmara
233,Tallinn
231,Addis Ababa
232,Suva
246,Helsinki
250,Paris
266,Libreville
270,Banjul
268,Tiflis
276,Berlin
288,Accra
300,Athens
308,Saint George's
320,Guatemala
324,Conakry
624,Bissau
328,Georgetown
332,Port-au-Prince
336,Vatican City
340,Tegucigalpa
348,Budapest
352,Reykjavík
356,New Delhi
360,Jakarta
364,Tehran
368,Baghdad
372,Dublin
376,Jerusalem
380,Rome
388,Kingston
392,Tokyo
400,Amman
398,Astana
404,Nairobi
296,Tarawa
408,P'yongyang
410,Seoul
414,Kuwait
417,Bishkek
418,Vientiane
428,Riga
422,Beirut
426,Maseru
430,Monrovia
434,Tripoli
438,Vaduz
440,Vilnius
442,Luxembourg
807,Skopje
450,Antananarivo
454,Lilongwe
458,Kuala Lumpur
462,Male
466,Bamako
470,Valletta
584,Majuro
478,Nouakchott
480,Port Louis
484,Mexico
583,Palikir
498,Chisinau
492,Monaco
496,Ulaanbaatar
504,Rabat
508,Maputo
516,Windhoek
520,Yaren District
524,Kathmandu
528,Amsterdam
554,Wellington
558,Managua
562,Niamey
566,Abuja
578,Oslo
512,Muscat
586,Islamabad
585,Koror
591,Panama
598,Port Moresby
600,Asunción
604,Lima
608,Manila
616,Warsaw
620,Lisbon
634,Doha
642,Bucharest
643,Moscow
646,Kigali
659,Basseterre
662,Castries
670,Kingstown
882,Apia
674,San Marino
678,São Tomé
682,Riyadh
686,Dakar
690,Victoria
694,Freetown
702,Singapore
703,Bratislava
705,Ljubljana
090,Honiara
706,Mogadishu
710,Pretoria
724,Madrid
144,Colombo
736,Khartoum
740,Paramaribo
748,Mbabane
752,Stockholm
756,Bern
760,Damascus
762,Dushanbe
834,Dar es Salaam Dodoma
764,Bangkok
768,Lom&eacute;
776,Nuku'alofa
780,Port-of-Spain
788,Tunis
792,Ankara
795,Ashgabat
798,Funafuti
800,Kampala
804,Kiev
784,Abu Dhabi
826,London
840,Washington, DC
858,Montevideo
860,Tashkent
548,Port-Vila
862,Caracas
704,Hanoi
887,Sanaa
894,Lusaka
716,Harare
